Condición,Estratificación,Split ratio,Semilla,N train,N val,N test,Drift val (fracción columnas),Drift test (fracción columnas)
60-20-20_strat_seed42,Sí,60/20/20,42,534,178,179,0.0,0.0
60-20-20_strat_seed123,Sí,60/20/20,123,534,178,179,0.0769,0.0
90-5-5_strat_seed42,Sí,90/5/5,42,801,45,45,0.0,0.0
90-5-5_strat_seed123,Sí,90/5/5,123,801,45,45,0.0,0.1538
98-1-1_strat_seed42,Sí,98/1/1,42,873,9,9,0.0,0.0
98-1-1_strat_seed123,Sí,98/1/1,123,873,9,9,0.1538,0.0
60-20-20_nostrat_seed42,No,60/20/20,42,534,178,179,0.0,0.0
60-20-20_nostrat_seed123,No,60/20/20,123,534,178,179,0.0,0.0
90-5-5_nostrat_seed42,No,90/5/5,42,801,45,45,0.1538,0.0
90-5-5_nostrat_seed123,No,90/5/5,123,801,45,45,0.0,0.0769
98-1-1_nostrat_seed42,No,98/1/1,42,873,9,9,0.0,0.0
98-1-1_nostrat_seed123,No,98/1/1,123,873,9,9,0.0,0.0769
